basis,variable,n,method,n_seeds,integral_median,integral_min,integral_max,abs_error_median,abs_error_min,abs_error_max,best_kl_median,best_tvd_median,analytic_ref
chebyshev,theta,7,HN-MLP,1,7.561737160322384,7.561737160322384,7.561737160322384,3.86163826275876e-05,3.86163826275876e-05,3.86163826275876e-05,-1.1585432424309521e-07,3.802809597326857e-07,7.561698543939756
chebyshev,theta,7,exact_discrete_target,0,7.561736332278259,7.561736332278259,7.561736332278259,3.778833850276442e-05,3.778833850276442e-05,3.778833850276442e-05,0.0,0.0,7.561698543939756
chebyshev,theta,7,qGAN,1,6.508574205639667,6.508574205639667,6.508574205639667,1.0531243383000888,1.0531243383000888,1.0531243383000888,1.3843978006117066,0.5400431397070713,7.561698543939756
chebyshev,theta,8,HN-MLP,1,7.562075425218637,7.562075425218637,7.562075425218637,0.000376881278881136,0.000376881278881136,0.000376881278881136,1.6928011697723609e-06,0.0006528328674683,7.561698543939756
chebyshev,theta,8,exact_discrete_target,0,7.561707950071827,7.561707950071827,7.561707950071827,9.406132070566287e-06,9.406132070566287e-06,9.406132070566287e-06,0.0,0.0,7.561698543939756
chebyshev,theta,8,qGAN,1,6.893649124228194,6.893649124228194,6.893649124228194,0.6680494197115623,0.6680494197115623,0.6680494197115623,2.031425295035373,0.6721242710235387,7.561698543939756
fft,cos_q,7,HN-MLP,1,7.356483466418826,7.356483466418826,7.356483466418826,0.20521507752093004,0.20521507752093004,0.20521507752093004,-1.1026995061694773e-07,2.76128304449539e-07,7.561698543939756
fft,cos_q,7,exact_discrete_target,0,7.356483066318475,7.356483066318475,7.356483066318475,0.20521547762128112,0.20521547762128112,0.20521547762128112,0.0,0.0,7.561698543939756
fft,cos_q,7,qGAN,1,8.042466552214288,8.042466552214288,8.042466552214288,0.4807680082745316,0.4807680082745316,0.4807680082745316,0.5553639261497058,0.3987130102927598,7.561698543939756
fft,cos_q,8,HN-MLP,1,7.3611484393278355,7.3611484393278355,7.3611484393278355,0.2005501046119207,0.2005501046119207,0.2005501046119207,5.779650754716222e-05,0.0037721214891818,7.561698543939756
fft,cos_q,8,exact_discrete_target,0,7.3564263583751295,7.3564263583751295,7.3564263583751295,0.20527218556462667,0.20527218556462667,0.20527218556462667,0.0,0.0,7.561698543939756
fft,cos_q,8,qGAN,1,7.258080402300308,7.258080402300308,7.258080402300308,0.3036181416394479,0.3036181416394479,0.3036181416394479,0.9526162331582084,0.4877492427362989,7.561698543939756
