source_panel,panel,context,family,method,mae_median,mae_min,mae_max,kl_median,channel,basis,reps,best_kl,dose_mae,profile_mae,z_over_lambda0,r_over_lambda0,qmci_profile,theory_profile,absolute_error
A,loader,1D first-Compton depth dose,Chebyshev,HN-MLP,0.005930628500756366,0.005899999183718125,0.006011795811416605,5.364935945173518e-09,,,,,,,,,,,
A,loader,1D first-Compton depth dose,Chebyshev,qGAN,0.049089683507986474,0.0032845926890987375,0.09894901106084471,0.039265886860288146,,,,,,,,,,,
A,loader,1D first-Compton depth dose,FFT,HN-MLP,0.0038234320144058067,0.0037786338589895743,0.00382984593327185,2.6704759882325742e-08,,,,,,,,,,,
A,loader,1D first-Compton depth dose,FFT,qGAN,0.2053053991871885,0.08411226223270438,0.23071936780376756,0.0803340820010768,,,,,,,,,,,
A,loader,2D z=0.5 profile,Chebyshev,HN-MLP,0.5778140687253117,0.577813206195017,0.5778158526778836,0.1039559203712125,,,,,,,,,,,
A,loader,2D z=0.5 profile,Chebyshev,qGAN,0.6094747386338727,0.4352453742737683,0.790400126849646,0.11853527616183121,,,,,,,,,,,
A,loader,2D z=0.5 profile,FFT,HN-MLP,0.6492927137620926,0.6490885250732236,0.6493320722131497,0.13028140361182095,,,,,,,,,,,
A,loader,2D z=0.5 profile,FFT,qGAN,0.6569835112595681,0.647012439802418,0.6609154575505707,0.14581410897047786,,,,,,,,,,,
B,,,,,,,,,q44,Chebyshev,20.0,0.0020628170061929,0.0060594465472403,,,,,,
B,,,,,,,,,q44,FFT,20.0,0.0014295751387353,0.0661798183707329,,,,,,
B,,,,,,,,,q55,Chebyshev,24.0,0.0230729959780587,0.0018034676130704,,,,,,
B,,,,,,,,,q55,FFT,20.0,0.0338286233180667,0.0126787967505246,,,,,,
B,,,,,,,,,q66,Chebyshev,12.0,0.077316797722519,0.0016350146757022,,,,,,
B,,,,,,,,,q66,FFT,12.0,0.1089503641316105,0.0138691088118947,,,,,,
C,,,,,,,,,q44,Chebyshev,20.0,0.0020628170061929,,0.1491809820386963,,,,,
C,,,,,,,,,q44,FFT,20.0,0.0014295751387353,,0.3246137106287654,,,,,
C,,,,,,,,,q55,Chebyshev,20.0,0.029118824164068,,0.1027062260080087,,,,,
C,,,,,,,,,q55,FFT,20.0,0.0338286233180667,,0.2909604977342983,,,,,
C,,,,,,,,,q66,Chebyshev,24.0,0.0379188500506459,,0.0534227629706845,,,,,
C,,,,,,,,,q66,FFT,24.0,0.0599994440625978,,0.2917122715651916,,,,,
D,,,,,,,,,,FFT,,,,,0.5,0.0,4.352184460692482,7.759406752790238,3.4072222920977566
D,,,,,,,,,,FFT,,,,,0.5,0.125,4.254090664179099,2.0012123430835844,2.2528783210955146
D,,,,,,,,,,FFT,,,,,0.5,0.25,0.4780506859913309,0.5561929975094255,0.0781423115180945
D,,,,,,,,,,FFT,,,,,0.5,0.375,0.2605053538730691,0.2236842291954366,0.0368211246776324
D,,,,,,,,,,FFT,,,,,0.5,0.5,0.1085268769609041,0.1164704666201795,0.0079435896592754
D,,,,,,,,,,FFT,,,,,0.5,0.625,0.071643075025738,0.0706287377617405,0.0010143372639974
D,,,,,,,,,,FFT,,,,,0.5,0.75,0.0506426472107473,0.0467452535189618,0.0038973936917855
D,,,,,,,,,,FFT,,,,,0.5,0.875,0.0359296386584583,0.0330178841591484,0.0029117544993099
D,,,,,,,,,,FFT,,,,,0.5,1.0,0.0249883400971437,0.024388632042692,0.0005997080544517
D,,,,,,,,,,Chebyshev,,,,,0.5,0.0,8.703948974068895,7.759406752790238,0.944542221278657
D,,,,,,,,,,Chebyshev,,,,,0.5,0.125,2.626669341343077,2.0012123430835844,0.6254569982594931
D,,,,,,,,,,Chebyshev,,,,,0.5,0.25,0.4661169999419491,0.5561929975094255,0.0900759975674763
D,,,,,,,,,,Chebyshev,,,,,0.5,0.375,0.1766393142579636,0.2236842291954366,0.047044914937473
D,,,,,,,,,,Chebyshev,,,,,0.5,0.5,0.1109683743012243,0.1164704666201795,0.0055020923189551
D,,,,,,,,,,Chebyshev,,,,,0.5,0.625,0.0712225975044817,0.0706287377617405,0.0005938597427412
D,,,,,,,,,,Chebyshev,,,,,0.5,0.75,0.0457494229560603,0.0467452535189618,0.0009958305629015
D,,,,,,,,,,Chebyshev,,,,,0.5,0.875,0.0309013290754554,0.0330178841591484,0.0021165550836929
D,,,,,,,,,,Chebyshev,,,,,0.5,1.0,0.0277256021883873,0.024388632042692,0.0033369701456953
