source,condition,noise_family,scale,n,seed,shots,kl,tvd,integral,analytic_ref,abs_error,transpiled_depth,transpiled_size,ecr_count,sx_count,rz_count,x_count,measure_count,scenario,correction_family,gate_scale,readout_scale,thermal_scale
aer,all_noise_corrected_0,all_noise_correction,0.0,3,9,4096,0.0008782138046814,0.01710919063411,7.65026645161562,7.561698543939756,0.0885679076758636,240,393,57,128,204,1,3,all noise correction,all_noise_correction,0.0,0.0,0.0
aer,all_noise_corrected_0.1,all_noise_correction,0.1,3,9,4096,0.012091274487335,0.05275372188411,7.957903542081334,7.561698543939756,0.3962049981415783,240,393,57,128,204,1,3,all noise correction,all_noise_correction,0.1,0.1,0.1
aer,all_noise_corrected_0.25,all_noise_correction,0.25,3,9,4096,0.0374774766939405,0.09646764222452,8.294218796649208,7.561698543939756,0.7325202527094516,240,393,57,128,204,1,3,all noise correction,all_noise_correction,0.25,0.25,0.25
aer,all_noise_corrected_0.5,all_noise_correction,0.5,3,9,4096,0.090263332957453,0.1592810317922219,8.76641719668884,7.561698543939756,1.204718652749084,240,393,57,128,204,1,3,all noise correction,all_noise_correction,0.5,0.5,0.5
aer,all_noise_corrected_0.75,all_noise_correction,0.75,3,9,4096,0.1423473840672536,0.2095740005422219,9.107485218889238,7.561698543939756,1.5457866749494815,240,393,57,128,204,1,3,all noise correction,all_noise_correction,0.75,0.75,0.75
aer,all_noise_corrected_1,all_noise_correction,1.0,3,9,4096,0.1912585192214793,0.2486365005422219,9.375875931299475,7.561698543939756,1.8141773873597196,240,393,57,128,204,1,3,all noise correction,all_noise_correction,1.0,1.0,1.0
ideal,ideal_exact,ideal,,3,9,0,5.402933929959518e-14,1.4906539846579192e-07,7.559426128662751,7.561698543939756,0.0022724152770052,240,393,57,128,204,1,3,reference,ideal,0.0,0.0,0.0
real_backend,real_yonsei,real_backend,,3,9,4096,0.1171642567047556,0.1722713834379658,8.364139527830266,7.561698543939756,0.8024409838905102,237,394,57,128,204,1,3,reference,real_backend,,,
aer,thermal_corrected_0,thermal_correction,0.0,3,9,4096,0.0300121661136499,0.08914342347452,8.228292456310335,7.561698543939756,0.6665939123705789,240,393,57,128,204,1,3,thermal correction,thermal_correction,1.0,1.0,0.0
aer,thermal_corrected_0.1,thermal_correction,0.1,3,9,4096,0.0467282566568943,0.11380162659952,8.400567765208294,7.561698543939756,0.8388692212685376,240,393,57,128,204,1,3,thermal correction,thermal_correction,1.0,1.0,0.1
aer,thermal_corrected_0.25,thermal_correction,0.25,3,9,4096,0.0730181610483731,0.14212193909952,8.6263355588475,7.561698543939756,1.0646370149077446,240,393,57,128,204,1,3,thermal correction,thermal_correction,1.0,1.0,0.25
aer,thermal_corrected_0.5,thermal_correction,0.5,3,9,4096,0.11325429235265,0.1832068130422219,8.922489947159184,7.561698543939756,1.3607914032194277,240,393,57,128,204,1,3,thermal correction,thermal_correction,1.0,1.0,0.5
aer,thermal_corrected_0.75,thermal_correction,0.75,3,9,4096,0.1496321186997045,0.2142126724172219,9.165087288535362,7.561698543939756,1.6033887445956063,240,393,57,128,204,1,3,thermal correction,thermal_correction,1.0,1.0,0.75
aer,thermal_corrected_1,thermal_correction,1.0,3,9,4096,0.1912585192214793,0.2486365005422219,9.375875931299475,7.561698543939756,1.8141773873597196,240,393,57,128,204,1,3,thermal correction,thermal_correction,1.0,1.0,1.0
aer,all_noise_corrected_0,all_noise_correction,0.0,4,9,4096,0.0012423401639734,0.0187353906641018,7.4805630438682895,7.561698543939756,0.0811355000714666,316,524,76,170,271,3,4,all noise correction,all_noise_correction,0.0,0.0,0.0
aer,all_noise_corrected_0.1,all_noise_correction,0.1,4,9,4096,0.0158679559193743,0.0535360457625975,7.851083427597031,7.561698543939756,0.2893848836572745,316,524,76,170,271,3,4,all noise correction,all_noise_correction,0.1,0.1,0.1
aer,all_noise_corrected_0.25,all_noise_correction,0.25,4,9,4096,0.0656462367826162,0.1350317046202384,8.266518765821585,7.561698543939756,0.7048202218818291,316,524,76,170,271,3,4,all noise correction,all_noise_correction,0.25,0.25,0.25
aer,all_noise_corrected_0.5,all_noise_correction,0.5,4,9,4096,0.1224166988514246,0.1923487496491224,8.688563285575881,7.561698543939756,1.1268647416361253,316,524,76,170,271,3,4,all noise correction,all_noise_correction,0.5,0.5,0.5
aer,all_noise_corrected_0.75,all_noise_correction,0.75,4,9,4096,0.1818829058454532,0.2463038277741224,8.96623764699943,7.561698543939756,1.4045391030596734,316,524,76,170,271,3,4,all noise correction,all_noise_correction,0.75,0.75,0.75
aer,all_noise_corrected_1,all_noise_correction,1.0,4,9,4096,0.2336128557219332,0.2875635933991224,9.19221995216067,7.561698543939756,1.6305214082209138,316,524,76,170,271,3,4,all noise correction,all_noise_correction,1.0,1.0,1.0
ideal,ideal_exact,ideal,,4,9,0,1.1101627971415355e-13,1.736502841965127e-07,7.555687756715849,7.561698543939756,0.0060107872239072,316,524,76,170,271,3,4,reference,ideal,0.0,0.0,0.0
real_backend,real_yonsei,real_backend,,4,9,4096,0.3123340568290373,0.3292630729965993,9.359388669008611,7.561698543939756,1.797690125068855,308,521,76,170,271,3,4,reference,real_backend,,,
aer,thermal_corrected_0,thermal_correction,0.0,4,9,4096,0.0576078333468621,0.1225805327452384,8.182687876219337,7.561698543939756,0.6209893322795805,316,524,76,170,271,3,4,thermal correction,thermal_correction,1.0,1.0,0.0
aer,thermal_corrected_0.1,thermal_correction,0.1,4,9,4096,0.0778464417067022,0.1459134636215993,8.38043798349954,7.561698543939756,0.818739439559784,316,524,76,170,271,3,4,thermal correction,thermal_correction,1.0,1.0,0.1
aer,thermal_corrected_0.25,thermal_correction,0.25,4,9,4096,0.1055475086182358,0.1784327340241223,8.566894802538968,7.561698543939756,1.005196258599212,316,524,76,170,271,3,4,thermal correction,thermal_correction,1.0,1.0,0.25
aer,thermal_corrected_0.5,thermal_correction,0.5,4,9,4096,0.1534002142604509,0.2211573433991224,8.826884151497836,7.561698543939756,1.26518560755808,316,524,76,170,271,3,4,thermal correction,thermal_correction,1.0,1.0,0.5
aer,thermal_corrected_0.75,thermal_correction,0.75,4,9,4096,0.1982018414980879,0.2597315621491224,9.038380523160068,7.561698543939756,1.476681979220312,316,524,76,170,271,3,4,thermal correction,thermal_correction,1.0,1.0,0.75
aer,thermal_corrected_1,thermal_correction,1.0,4,9,4096,0.2336128557219332,0.2875635933991224,9.19221995216067,7.561698543939756,1.6305214082209138,316,524,76,170,271,3,4,thermal correction,thermal_correction,1.0,1.0,1.0
aer,all_noise_corrected_0,all_noise_correction,0.0,5,5,4096,0.0042157333640205,0.0317489501339467,7.512132156819037,7.561698543939756,0.049566387120719,358,746,116,230,387,8,5,all noise correction,all_noise_correction,0.0,0.0,0.0
aer,all_noise_corrected_0.1,all_noise_correction,0.1,5,5,4096,0.0237291551722633,0.0695444797257476,7.854777700320938,7.561698543939756,0.2930791563811814,358,746,116,230,387,8,5,all noise correction,all_noise_correction,0.1,0.1,0.1
aer,all_noise_corrected_0.25,all_noise_correction,0.25,5,5,4096,0.0655914953391066,0.1382958475195496,8.277221264520263,7.561698543939756,0.7155227205805064,358,746,116,230,387,8,5,all noise correction,all_noise_correction,0.25,0.25,0.25
aer,all_noise_corrected_0.5,all_noise_correction,0.5,5,5,4096,0.1545158002824324,0.2254385757654333,8.762693251332358,7.561698543939756,1.200994707392602,358,746,116,230,387,8,5,all noise correction,all_noise_correction,0.5,0.5,0.5
aer,all_noise_corrected_0.75,all_noise_correction,0.75,5,5,4096,0.2165845145411413,0.2723290506445496,9.02947201494091,7.561698543939756,1.467773471001153,358,746,116,230,387,8,5,all noise correction,all_noise_correction,0.75,0.75,0.75
aer,all_noise_corrected_1,all_noise_correction,1.0,5,5,4096,0.2558301588566303,0.2934757458142402,9.1426583693445,7.561698543939756,1.5809598254047428,358,746,116,230,387,8,5,all noise correction,all_noise_correction,1.0,1.0,1.0
ideal,ideal_exact,ideal,,5,5,0,3.043038998548893e-13,3.122599486013065e-07,7.5619757929857565,7.561698543939756,0.0002772490460003,358,746,116,230,387,8,5,reference,ideal,0.0,0.0,0.0
real_backend,real_yonsei,real_backend,,5,5,4096,0.2705144728429144,0.3164111172895387,9.196818911556596,7.561698543939756,1.6351203676168398,359,766,116,230,387,8,5,reference,real_backend,,,
aer,thermal_corrected_0,thermal_correction,0.0,5,5,4096,0.0745467542714642,0.1514664339589109,8.31355024318526,7.561698543939756,0.7518516992455035,358,746,116,230,387,8,5,thermal correction,thermal_correction,1.0,1.0,0.0
aer,thermal_corrected_0.1,thermal_correction,0.1,5,5,4096,0.10104418608689,0.1766104507654333,8.474201204466215,7.561698543939756,0.9125026605264592,358,746,116,230,387,8,5,thermal correction,thermal_correction,1.0,1.0,0.1
aer,thermal_corrected_0.25,thermal_correction,0.25,5,5,4096,0.1381679323426433,0.2104679333142401,8.677558677132346,7.561698543939756,1.11586013319259,358,746,116,230,387,8,5,thermal correction,thermal_correction,1.0,1.0,0.25
aer,thermal_corrected_0.5,thermal_correction,0.5,5,5,4096,0.1855446212585473,0.2488915506445496,8.926585760150394,7.561698543939756,1.3648872162106374,358,746,116,230,387,8,5,thermal correction,thermal_correction,1.0,1.0,0.5
aer,thermal_corrected_0.75,thermal_correction,0.75,5,5,4096,0.2284143286588576,0.2777001443945496,9.056620240212702,7.561698543939756,1.4949216962729457,358,746,116,230,387,8,5,thermal correction,thermal_correction,1.0,1.0,0.75
aer,thermal_corrected_1,thermal_correction,1.0,5,5,4096,0.2558301588566303,0.2934757458142402,9.1426583693445,7.561698543939756,1.5809598254047428,358,746,116,230,387,8,5,thermal correction,thermal_correction,1.0,1.0,1.0
aer,all_noise_corrected_0,all_noise_correction,0.0,6,2,4096,0.0098681512946574,0.0448552238086362,7.471756634501741,7.561698543939756,0.0899419094380151,428,924,138,286,485,9,6,all noise correction,all_noise_correction,0.0,0.0,0.0
aer,all_noise_corrected_0.1,all_noise_correction,0.1,6,2,4096,0.0260385812118165,0.0764548226176719,7.853477249396784,7.561698543939756,0.2917787054570278,428,924,138,286,485,9,6,all noise correction,all_noise_correction,0.1,0.1,0.1
aer,all_noise_corrected_0.25,all_noise_correction,0.25,6,2,4096,0.0810299983657947,0.1490287615136955,8.308665519808905,7.561698543939756,0.7469669758691486,428,924,138,286,485,9,6,all noise correction,all_noise_correction,0.25,0.25,0.25
aer,all_noise_corrected_0.5,all_noise_correction,0.5,6,2,4096,0.158904576260259,0.2249946366260497,8.748326861408861,7.561698543939756,1.186628317469105,428,924,138,286,485,9,6,all noise correction,all_noise_correction,0.5,0.5,0.5
aer,all_noise_corrected_0.75,all_noise_correction,0.75,6,2,4096,0.2181652936992525,0.274857918223912,8.991655860407748,7.561698543939756,1.4299573164679922,428,924,138,286,485,9,6,all noise correction,all_noise_correction,0.75,0.75,0.75
aer,all_noise_corrected_1,all_noise_correction,1.0,6,2,4096,0.2599993006410135,0.3033349874873458,9.12982433582082,7.561698543939756,1.5681257918810632,428,924,138,286,485,9,6,all noise correction,all_noise_correction,1.0,1.0,1.0
ideal,ideal_exact,ideal,,6,2,0,7.357936795787465e-13,4.1227093921134233e-07,7.561835354958198,7.561698543939756,0.000136811018442,428,924,138,286,485,9,6,reference,ideal,0.0,0.0,0.0
real_backend,real_yonsei,real_backend,,6,2,4096,0.3298332686127009,0.336947027985757,9.388669435929785,7.561698543939756,1.826970891990027,495,1031,138,286,485,9,6,reference,real_backend,,,
aer,thermal_corrected_0,thermal_correction,0.0,6,2,4096,0.0962333670077131,0.1685066426508799,8.398537295056625,7.561698543939756,0.8368387511168693,428,924,138,286,485,9,6,thermal correction,thermal_correction,1.0,1.0,0.0
aer,thermal_corrected_0.1,thermal_correction,0.1,6,2,4096,0.1180291990741671,0.1901942220632745,8.52546260489607,7.561698543939756,0.963764060956314,428,924,138,286,485,9,6,thermal correction,thermal_correction,1.0,1.0,0.1
aer,thermal_corrected_0.25,thermal_correction,0.25,6,2,4096,0.1518901729600515,0.216283900442359,8.69728228403581,7.561698543939756,1.1355837400960531,428,924,138,286,485,9,6,thermal correction,thermal_correction,1.0,1.0,0.25
aer,thermal_corrected_0.5,thermal_correction,0.5,6,2,4096,0.1949575536301165,0.254838386973912,8.893852287302005,7.561698543939756,1.332153743362249,428,924,138,286,485,9,6,thermal correction,thermal_correction,1.0,1.0,0.5
aer,thermal_corrected_0.75,thermal_correction,0.75,6,2,4096,0.2333202742897983,0.2874658468623458,9.01950229514201,7.561698543939756,1.4578037512022537,428,924,138,286,485,9,6,thermal correction,thermal_correction,1.0,1.0,0.75
