scenario,correction_family,gate_scale,readout_scale,thermal_scale,abs_error,tvd,kl
all noise correction,all_noise_correction,0.0,0.0,0.0,0.07965768289831887,0.038302086971291484,0.007041942329339019
all noise correction,all_noise_correction,0.1,0.1,0.1,0.34464207726137985,0.07299965117170977,0.024883868192039943
all noise correction,all_noise_correction,0.25,0.25,0.25,0.7397436142893001,0.14366230451662254,0.07333811757420551
all noise correction,all_noise_correction,0.5,0.5,0.5,1.202856680070843,0.22521660619574152,0.1567101882713457
all noise correction,all_noise_correction,0.75,0.75,0.75,1.4982914134998842,0.2735934844342308,0.21737490412019694
all noise correction,all_noise_correction,1.0,1.0,1.0,1.634833144412415,0.298405366650793,0.2579147297488219
thermal correction,thermal_correction,1.0,1.0,0.0,0.7943452251811864,0.15998653830489545,0.08539006063958873
thermal correction,thermal_correction,1.0,1.0,0.1,0.9381333607413866,0.18340233641435388,0.10953669258052863
thermal correction,thermal_correction,1.0,1.0,0.25,1.1257219366443216,0.21337591687829963,0.14502905265134744
thermal correction,thermal_correction,1.0,1.0,0.5,1.3628393097150324,0.2518649688092308,0.1902510874443319
thermal correction,thermal_correction,1.0,1.0,0.75,1.5294673442219278,0.2825829956284477,0.23086730147432796
thermal correction,thermal_correction,1.0,1.0,1.0,1.634833144412415,0.298405366650793,0.2579147297488219
