condition,mitigation_family,n,abs_error,kl,tvd,transpiled_depth,ecr_count,x_count,delay_count,note,panel_source
baseline_full_noise,baseline,3,1.8141773873597196,0.1912585192214793,0.2486365005422219,240,57,1,0,No explicit mitigation; optimization-level-3 transpilation only.,all_n_trend
baseline_readout_mitigated,readout_mitigation,3,1.8083886493911128,0.1903079761473958,0.248038438299021,240,57,1,0,Classical inverse assignment-matrix readout mitigation on the same noisy counts.,all_n_trend
ideal_exact,reference,3,0.0022724152770052,5.4150212906254175e-14,1.4906539845625094e-07,240,57,1,0,Noiseless learned-state expectation.,all_n_trend
layout_best_aer_error,layout_selection,3,1.6732881264140262,0.1816329532051769,0.2491247817922219,240,57,1,0,Best transpiler seed by Aer-observed integral error. selected seed_transpiler=2.,all_n_trend
layout_min_ecr_depth,layout_selection,3,1.8141773873597196,0.1912585192214793,0.2486365005422219,240,57,1,0,"Best transpiler seed by ECR count, then depth and size. selected seed_transpiler=0.",all_n_trend
zne_poly1,zne_proxy,3,1.3898154028838183,,,240,57,1,0,Aer noise-scale polynomial extrapolation of the integral to zero noise.,all_n_trend
zne_poly2,zne_proxy,3,0.896408650232126,,,240,57,1,0,Aer noise-scale polynomial extrapolation of the integral to zero noise.,all_n_trend
baseline_full_noise,baseline,4,1.6029144420776182,0.2206996436323637,0.2767168367754832,307,78,3,0,No explicit mitigation; optimization-level-3 transpilation only.,all_n_trend
baseline_readout_mitigated,readout_mitigation,4,1.607619425584521,0.2191503788705536,0.2759749292579235,307,78,3,0,Classical inverse assignment-matrix readout mitigation on the same noisy counts.,all_n_trend
ideal_exact,reference,4,0.0060107872239072,1.1101627971415355e-13,1.736502841965127e-07,307,78,3,0,Noiseless learned-state expectation.,all_n_trend
layout_best_aer_error,layout_selection,4,1.4959011630664358,0.1988408207532611,0.2537676180254832,313,76,2,0,Best transpiler seed by Aer-observed integral error. selected seed_transpiler=2.,all_n_trend
layout_min_ecr_depth,layout_selection,4,1.574320272522086,0.2233382136864109,0.2752519930254832,304,76,1,0,"Best transpiler seed by ECR count, then depth and size. selected seed_transpiler=3.",all_n_trend
zne_poly1,zne_proxy,4,1.4112431125914222,,,307,78,3,0,Aer noise-scale polynomial extrapolation of the integral to zero noise.,all_n_trend
zne_poly2,zne_proxy,4,1.262849866016583,,,307,78,3,0,Aer noise-scale polynomial extrapolation of the integral to zero noise.,all_n_trend
baseline_full_noise,baseline,5,1.5730948869031076,0.2530381793717858,0.2920109020642402,343,115,9,0,No explicit mitigation; optimization-level-3 transpilation only.,all_n_trend
baseline_readout_mitigated,readout_mitigation,5,1.5448232634880972,0.2428486529869738,0.2840476481690962,343,115,9,0,Classical inverse assignment-matrix readout mitigation on the same noisy counts.,all_n_trend
ideal_exact,reference,5,0.0002772490460003,3.043038998548893e-13,3.122599486013065e-07,343,115,9,0,Noiseless learned-state expectation.,all_n_trend
layout_best_aer_error,layout_selection,5,1.5805171259058204,0.2399405113896107,0.2793320502231168,351,113,5,0,Best transpiler seed by Aer-observed integral error. selected seed_transpiler=1.,all_n_trend
layout_min_ecr_depth,layout_selection,5,1.6393041952692,0.2629952731443165,0.2877834328928074,308,112,3,0,"Best transpiler seed by ECR count, then depth and size. selected seed_transpiler=0.",all_n_trend
zne_poly1,zne_proxy,5,1.3474863458424808,,,343,115,9,0,Aer noise-scale polynomial extrapolation of the integral to zero noise.,all_n_trend
zne_poly2,zne_proxy,5,0.7570322158956655,,,343,115,9,0,Aer noise-scale polynomial extrapolation of the integral to zero noise.,all_n_trend
baseline_full_noise,baseline,6,1.6831142611323626,0.296820454140513,0.3211191132624837,484,160,12,0,No explicit mitigation; optimization-level-3 transpilation only.,all_n_trend
