source,backend,condition,shots_per_round,repeats,rmse_vs_statevector_k1,median_abs_error_vs_statevector_k1,min_abs_error_vs_statevector_k1,max_abs_error_vs_statevector_k1
aer_ideal,ibm_berlin,aer_ideal_backend_transpiled,512,10,0.0015799691162759564,0.000543739233758056,3.314848882052246e-05,0.003925813667248201
aer_ideal,ibm_berlin,aer_ideal_backend_transpiled,1024,10,0.008658535049573375,0.005386633038067412,0.001708562910090805,0.01776371235461882
aer_ideal,ibm_berlin,aer_ideal_backend_transpiled,2048,10,0.004724486527453625,0.0038055830839348603,0.0006879546371156842,0.00803475055392422
aer_ideal,ibm_berlin,aer_ideal_backend_transpiled,4096,10,0.0018909532644429399,0.0014404884225907022,4.959231750856219e-05,0.004120008436246492
aer_ideal,ibm_berlin,aer_ideal_backend_transpiled,8192,10,0.0007579288972588385,0.00039432914105130834,5.523569918897131e-05,0.001531595146046394
aer_noise,ibm_berlin,aer_noise_model_from_backend,512,10,0.3162365262174275,0.26043835476052124,0.07045443379653227,0.5248728112720711
aer_noise,ibm_berlin,aer_noise_model_from_backend,1024,10,0.25080176754220723,0.1899673026212786,0.06573521322629672,0.3661962243014596
aer_noise,ibm_berlin,aer_noise_model_from_backend,2048,10,0.22820318073461504,0.18343661278657186,0.14294807917804908,0.365060247573038
aer_noise,ibm_berlin,aer_noise_model_from_backend,4096,10,0.2715476832681578,0.27393744014053634,0.2008876895220053,0.3253078198532289
aer_noise,ibm_berlin,aer_noise_model_from_backend,8192,10,0.24000505630118685,0.24740429068394043,0.1807078312984136,0.2785173432495982
aer_ideal,ibm_yonsei,aer_ideal_backend_transpiled,512,10,0.001508521034271781,0.000774919949835251,0.0001816258926792269,0.0027411911247547938
aer_ideal,ibm_yonsei,aer_ideal_backend_transpiled,1024,10,0.006426094187844359,0.003455903307610031,0.0007262155985268137,0.011956811130470424
aer_ideal,ibm_yonsei,aer_ideal_backend_transpiled,2048,10,0.0035499782030500695,0.0019796175399424687,0.0009982672630992617,0.008292837248294216
aer_ideal,ibm_yonsei,aer_ideal_backend_transpiled,4096,10,0.0013116962477402875,0.0005395389656283056,9.88059840323352e-06,0.0033077349861037053
aer_ideal,ibm_yonsei,aer_ideal_backend_transpiled,8192,10,0.0008647012888924821,0.0006602471398482468,1.2380273635148598e-06,0.001518352685558666
aer_noise,ibm_yonsei,aer_noise_model_from_backend,512,10,1.6471961385020826,1.6467448593873906,1.6422067423778328,1.6515953769029497
aer_noise,ibm_yonsei,aer_noise_model_from_backend,1024,10,1.650205713229522,1.6489956441580063,1.6293830222107768,1.6732194015256934
aer_noise,ibm_yonsei,aer_noise_model_from_backend,2048,10,1.6182309008427205,1.6531828615702489,1.256478807565084,1.6595207634261977
aer_noise,ibm_yonsei,aer_noise_model_from_backend,4096,10,1.4982677554188957,1.504928062347704,1.307203393884151,1.647982162703544
aer_noise,ibm_yonsei,aer_noise_model_from_backend,8192,10,1.3860339129341341,1.395835485880099,1.349412114450891,1.4065875468459152
