source,backend,condition,n,harmonic_index,shots_per_round,epsilon_target,alpha,analytic_k1,statevector_cos,statevector_k1,cos_estimate,k1_estimate,abs_error_vs_analytic_k1,abs_error_vs_statevector_k1,statevector_abs_error_vs_analytic_k1,max_transpiled_depth,max_transpiled_ecr,max_transpiled_cz,amplitude_estimate,amplitude_ci_low,amplitude_ci_high,cos_ci_low,cos_ci_high,epsilon_estimated,num_oracle_queries,powers,ratios,iqae_rounds,max_grover_power,source_file,recovered_from_jobs
aer_ideal,ibm_berlin,aer_ideal_backend_transpiled,2,1,8192,0.005,0.05,-1.640601856706279,0.5553494065680916,-1.9291098572856649,0.5553960834077993,-1.9292719980037825,0.2886701412975034,0.0001621407181175,0.2885080005793858,6019,0,1415,0.2223019582961003,0.2220443997336154,0.2225595168585852,0.5548809662828296,0.5559112005327691,0.0002575585624848,196608,"[0, 0, 24]","[1.0, 49.0]",2,24,experiments/nighthawk_backend_probe_20260702/outputs/hardware_workflow/iqae_chebyshev_k1_n2_8_aer_20260706T081113Z.csv,
aer_ideal,ibm_berlin,aer_ideal_backend_transpiled,3,1,8192,0.005,0.05,-1.640601856706279,0.5466334516883146,-1.825179940808173,0.5469171432477088,-1.8261271717944647,0.1855253150881861,0.0009472309862921,0.184578084101894,12103,0,4311,0.2265414283761456,0.2262461410195833,0.2268367157327078,0.5463265685345844,0.5475077179608332,0.0002952873565622,172032,"[0, 0, 21]","[1.0, 43.0]",2,21,experiments/nighthawk_backend_probe_20260702/outputs/hardware_workflow/iqae_chebyshev_k1_n2_8_aer_20260706T081113Z.csv,
aer_ideal,ibm_berlin,aer_ideal_backend_transpiled,4,1,8192,0.005,0.05,-1.640601856706279,0.5262812191518782,-1.6784493467444732,0.5261973101707442,-1.678181738915341,0.037579882209062,0.0002676078291321,0.0378474900381942,15173,0,4493,0.2369013449146279,0.2366263027868196,0.2371763870424361,0.5256472259151277,0.5267473944263606,0.0002750421278082,188416,"[0, 0, 23]","[1.0, 47.0]",2,23,experiments/nighthawk_backend_probe_20260702/outputs/hardware_workflow/iqae_chebyshev_k1_n2_8_aer_20260706T081113Z.csv,
aer_ideal,ibm_berlin,aer_ideal_backend_transpiled,5,1,8192,0.005,0.05,-1.640601856706279,0.5220517636129036,-1.6492437628624546,0.5218001029243284,-1.6484487271017898,0.0078468703955107,0.0007950357606647,0.0086419061561755,21517,0,7377,0.2390999485378358,0.238767987066043,0.2394319100096285,0.5211361799807429,0.5224640258679139,0.0003319614717927,155648,"[0, 0, 19]","[1.0, 39.0]",2,19,experiments/nighthawk_backend_probe_20260702/outputs/hardware_workflow/iqae_chebyshev_k1_n2_8_aer_20260706T081113Z.csv,
aer_ideal,ibm_berlin,aer_ideal_backend_transpiled,6,1,8192,0.005,0.05,-1.640601856706279,0.5211059198057202,-1.6427244325637949,0.520991908817868,-1.6423650264849017,0.0017631697786226,0.0003594060788931,0.0021225758575158,23889,0,7613,0.2395040455910659,0.2391341317053371,0.2398739594767948,0.5202520810464102,0.5217317365893258,0.0003699138857288,139264,"[0, 0, 17]","[1.0, 35.0]",2,17,experiments/nighthawk_backend_probe_20260702/outputs/hardware_workflow/iqae_chebyshev_k1_n2_8_aer_20260706T081113Z.csv,
aer_ideal,ibm_berlin,aer_ideal_backend_transpiled,7,1,8192,0.005,0.05,-1.640601856706279,0.5210614370124688,-1.6417192827636076,0.5204837616777384,-1.6398991888767112,0.0007026678295678,0.0018200938868964,0.0011174260573285,30086,0,10805,0.2397581191611308,0.2393880814329768,0.2401281568892847,0.5197436862214304,0.5212238371340463,0.0003700377281539,139264,"[0, 0, 17]","[1.0, 35.0]",2,17,experiments/nighthawk_backend_probe_20260702/outputs/hardware_workflow/iqae_chebyshev_k1_n2_8_aer_20260706T081014Z.csv,
aer_ideal,ibm_berlin,aer_ideal_backend_transpiled,8,1,8192,0.005,0.05,-1.640601856706279,0.5185498809808726,-1.6335919276211652,0.5184744642882545,-1.6333543417981085,0.0072475149081705,0.0002375858230567,0.0070099290851137,45384,0,15187,0.2407627678558727,0.2404464090990141,0.2410791266127313,0.5178417467745373,0.5191071818019717,0.0003163587568585,163840,"[0, 0, 20]","[1.0, 41.0]",2,20,experiments/nighthawk_backend_probe_20260702/outputs/hardware_workflow/iqae_chebyshev_k1_n2_8_aer_20260706T081014Z.csv,
aer_noise,ibm_berlin,aer_noise_model_from_backend,2,1,8192,0.005,0.05,-1.640601856706279,0.5553494065680916,-1.9291098572856649,0.5359524606506931,-1.8617309438881904,0.2211290871819111,0.0673789133974747,0.2885080005793858,4794,0,1125,0.2320237696746534,0.2316954881948894,0.2323520511544175,0.535295897691165,0.5366090236102212,0.000328281479764,155648,"[0, 0, 19]","[1.0, 39.0]",2,19,experiments/nighthawk_backend_probe_20260702/outputs/hardware_workflow/iqae_chebyshev_k1_n2_8_aer_20260706T081113Z.csv,
aer_noise,ibm_berlin,aer_noise_model_from_backend,3,1,8192,0.005,0.05,-1.640601856706279,0.5466334516883146,-1.825179940808173,0.4872051209014074,-1.6267519138863542,0.0138499428199247,0.1984280269218188,0.184578084101894,10393,0,3669,0.2563974395492963,0.2560395139258826,0.2567553651727099,0.4864892696545801,0.4879209721482348,0.0003579256234136,147456,"[0, 0, 18]","[1.0, 37.0]",2,18,experiments/nighthawk_backend_probe_20260702/outputs/hardware_workflow/iqae_chebyshev_k1_n2_8_aer_20260706T081113Z.csv,
aer_noise,ibm_berlin,aer_noise_model_from_backend,4,1,8192,0.005,0.05,-1.640601856706279,0.5262812191518782,-1.6784493467444732,0.4903484472270645,-1.5638502780923262,0.0767515786139527,0.1145990686521469,0.0378474900381942,15627,0,4744,0.2548257763864677,0.2545560510249905,0.2550955017479449,0.4898089965041101,0.4908878979500188,0.0002697253614771,196608,"[0, 0, 24]","[1.0, 49.0]",2,24,experiments/nighthawk_backend_probe_20260702/outputs/hardware_workflow/iqae_chebyshev_k1_n2_8_aer_20260706T081113Z.csv,
