source,backend,condition,n,harmonic_index,shots_per_round,epsilon_target,alpha,analytic_k1,statevector_cos,statevector_k1,cos_estimate,k1_estimate,abs_error_vs_analytic_k1,abs_error_vs_statevector_k1,statevector_abs_error_vs_analytic_k1,max_transpiled_depth,max_transpiled_ecr,max_transpiled_cz,amplitude_estimate,amplitude_ci_low,amplitude_ci_high,cos_ci_low,cos_ci_high,epsilon_estimated,num_oracle_queries,powers,ratios,iqae_rounds,max_grover_power,repeat,rmse_component
real_raw,ibm_berlin,runtime_raw,5,1,512,0.005,0.05,-1.640601856706279,0.5220517636129036,-1.6492437628624546,0.4228588449585281,-1.3358777064417457,0.30472415026453326,0.3133660564207088,0.00864190615617555,43839,0,15056,0.28857057752073595,0.28786748407568646,0.28927367096578543,0.42145265806842913,0.42426503184862707,0.0007030934450494852,21504,"[0, 0, 3, 39]","[1.0, 7.0, 11.285714285714286]",3,39,0,0.3133660564207088
real_raw,ibm_berlin,runtime_raw,5,1,512,0.005,0.05,-1.640601856706279,0.5220517636129036,-1.6492437628624546,0.3535079563004575,-1.1167873239541184,0.5238145327521606,0.5324564389083362,0.00864190615617555,62926,0,21691,0.32324602184977125,0.32273863510148826,0.3237534085980543,0.3524931828038914,0.3545227297970235,0.0005073867482830174,30720,"[0, 0, 4, 56]","[1.0, 9.0, 12.555555555555555]",3,56,1,0.5324564389083362
real_raw,ibm_berlin,runtime_raw,5,1,512,0.005,0.05,-1.640601856706279,0.5220517636129036,-1.6492437628624546,0.28129985170303773,-0.888670546201563,0.751931310504716,0.7605732166608915,0.00864190615617555,67952,0,23228,0.35935007414848114,0.35886397145753396,0.3598361768394283,0.2803276463211434,0.2822720570849321,0.0004861026909471766,33280,"[0, 0, 5, 60]","[1.0, 11.0, 11.0]",3,60,2,0.7605732166608915
real_raw,ibm_berlin,runtime_raw,5,1,512,0.005,0.05,-1.640601856706279,0.5220517636129036,-1.6492437628624546,0.4274352924757572,-1.3503354251009512,0.29026643160532783,0.2989083377615034,0.00864190615617555,39340,0,13561,0.2862823537621214,0.2855018996813669,0.28706280784287597,0.42587438431424807,0.4289962006372662,0.0007804540807545279,19456,"[0, 0, 3, 35]","[1.0, 7.0, 10.142857142857142]",3,35,3,0.2989083377615034
real_raw,ibm_berlin,runtime_raw,5,1,512,0.005,0.05,-1.640601856706279,0.5220517636129036,-1.6492437628624546,0.3453569481068064,-1.0910370049984148,0.5495648517078642,0.5582067578640397,0.00864190615617555,59555,0,20488,0.3273215259465968,0.32678394318973425,0.32785910870345936,0.3442817825930813,0.3464321136205315,0.0005375827568625535,29184,"[0, 0, 4, 53]","[1.0, 9.0, 11.88888888888889]",3,53,4,0.5582067578640397
real_raw,ibm_berlin,runtime_raw,5,1,512,0.005,0.05,-1.640601856706279,0.5220517636129036,-1.6492437628624546,0.4232613282448532,-1.3371492145485937,0.3034526421576853,0.31209454831386085,0.00864190615617555,44001,0,15077,0.2883693358775734,0.2876664049070299,0.289072266848117,0.421855466303766,0.42466719018594024,0.0007029309705435527,21504,"[0, 0, 3, 39]","[1.0, 7.0, 11.285714285714286]",3,39,5,0.31209454831386085
real_raw,ibm_berlin,runtime_raw,5,1,512,0.005,0.05,-1.640601856706279,0.5220517636129036,-1.6492437628624546,0.2770606511088285,-0.8752782437004906,0.7653236130057884,0.773965519161964,0.00864190615617555,68406,0,23574,0.36146967444558575,0.36099086908453315,0.3619484798066383,0.2761030403867234,0.2780182618309337,0.00047880536105257554,33792,"[0, 0, 5, 61]","[1.0, 11.0, 11.181818181818182]",3,61,6,0.773965519161964
real_raw,ibm_berlin,runtime_raw,5,1,512,0.005,0.05,-1.640601856706279,0.5220517636129036,-1.6492437628624546,0.4444485372967397,-1.4040829456779775,0.23651891102830147,0.24516081718447702,0.00864190615617555,41665,0,14337,0.27777573135163014,0.277043652955415,0.27850780974784534,0.4429843805043093,0.44591269408917,0.0007320783962151689,20480,"[0, 0, 3, 37]","[1.0, 7.0, 10.714285714285714]",3,37,7,0.24516081718447702
real_raw,ibm_berlin,runtime_raw,5,1,512,0.005,0.05,-1.640601856706279,0.5220517636129036,-1.6492437628624546,0.4387907880904638,-1.386209224639829,0.25439263206645,0.26303453822262557,0.00864190615617555,46272,0,15895,0.2806046059547681,0.27994103376197266,0.28126817814756355,0.4374636437048729,0.4401179324760547,0.0006635721927954474,22528,"[0, 0, 3, 41]","[1.0, 7.0, 11.857142857142858]",3,41,8,0.26303453822262557
real_raw,ibm_berlin,runtime_raw,5,1,512,0.005,0.05,-1.640601856706279,0.5220517636129036,-1.6492437628624546,0.34858598957608344,-1.1012380556880514,0.5393638010182276,0.5480057071744031,0.00864190615617555,54045,0,18593,0.3257070052119583,0.325114758868431,0.32629925155548556,0.3474014968890289,0.349770482263138,0.0005922463435272807,26624,"[0, 0, 4, 48]","[1.0, 9.0, 10.777777777777779]",3,48,9,0.5480057071744031
real_raw,ibm_berlin,runtime_raw,5,1,1024,0.005,0.05,-1.640601856706279,0.5220517636129036,-1.6492437628624546,0.3383362100197036,-1.0688573873667984,0.5717444693394806,0.5803863754956562,0.00864190615617555,4770,0,1605,0.3308318949901482,0.3263175889643727,0.3353462010159238,0.32930759796815245,0.34736482207125463,0.004514306025775544,4096,"[0, 0, 4]","[1.0, 9.0]",2,4,0,0.5803863754956562
real_raw,ibm_berlin,runtime_raw,5,1,1024,0.005,0.05,-1.640601856706279,0.5220517636129036,-1.6492437628624546,0.3525879488776551,-1.1138808755717908,0.5267209811344882,0.5353628872906637,0.00864190615617555,4722,0,1626,0.32370602556117245,0.3192166808994121,0.32819537022293277,0.34360925955413446,0.36156663820117585,0.004489344661760347,4096,"[0, 0, 4]","[1.0, 9.0]",2,4,1,0.5353628872906637
real_raw,ibm_berlin,runtime_raw,5,1,1024,0.005,0.05,-1.640601856706279,0.5220517636129036,-1.6492437628624546,0.2750770048321316,-0.8690115926179871,0.7715902640882919,0.7802321702444674,0.00864190615617555,5823,0,1975,0.3624614975839342,0.3586877959089379,0.36623519925893055,0.2675296014821389,0.2826244081821242,0.003773701674996327,5120,"[0, 0, 5]","[1.0, 11.0]",2,5,2,0.7802321702444674
real_raw,ibm_berlin,runtime_raw,5,1,1024,0.005,0.05,-1.640601856706279,0.5220517636129036,-1.6492437628624546,0.34749832110355783,-1.0978019396371053,0.5427999170691737,0.5514418232253493,0.00864190615617555,4672,0,1608,0.3262508394482211,0.3217525446316273,0.3307491342648149,0.3385017314703702,0.35649491073674544,0.004498294816593806,4096,"[0, 0, 4]","[1.0, 9.0]",2,4,3,0.5514418232253493
real_raw,ibm_berlin,runtime_raw,5,1,1024,0.005,0.05,-1.640601856706279,0.5220517636129036,-1.6492437628624546,0.2767847374700383,-0.8744065890493996,0.7661952676568794,0.774837173813055,0.00864190615617555,5816,0,1993,0.36160763126498086,0.35783590442990487,0.3653793581000569,0.2692412837998862,0.28432819114019026,0.0037717268350760114,5120,"[0, 0, 5]","[1.0, 11.0]",2,5,4,0.774837173813055
real_raw,ibm_berlin,runtime_raw,5,1,1024,0.005,0.05,-1.640601856706279,0.5220517636129036,-1.6492437628624546,0.4300837133390967,-1.3587022038281584,0.2818996528781206,0.2905415590342961,0.00864190615617555,63241,0,21601,0.28495814333045166,0.28461319970955246,0.2853030869513508,0.42939382609729837,0.4307736005808951,0.0003449436208991796,60416,"[0, 0, 3, 56]","[1.0, 7.0, 16.142857142857142]",3,56,5,0.2905415590342961
real_raw,ibm_berlin,runtime_raw,5,1,1024,0.005,0.05,-1.640601856706279,0.5220517636129036,-1.6492437628624546,0.27866007934580783,-0.8803310894676015,0.7602707672386775,0.768912673394853,0.00864190615617555,5807,0,1978,0.3606699603270961,0.35690039980866556,0.36443952084552667,0.27112095830894667,0.2861992003826689,0.0037695605184305536,5120,"[0, 0, 5]","[1.0, 11.0]",2,5,6,0.768912673394853
real_raw,ibm_berlin,runtime_raw,5,1,1024,0.005,0.05,-1.640601856706279,0.5220517636129036,-1.6492437628624546,0.34648112530647157,-1.09458845786981,0.546013398836469,0.5546553049926446,0.00864190615617555,4718,0,1608,0.3267594373467642,0.3222593585531629,0.33125951614036553,0.33748096771926894,0.3554812828936742,0.004500078793601314,4096,"[0, 0, 4]","[1.0, 9.0]",2,4,7,0.5546553049926446
real_raw,ibm_berlin,runtime_raw,5,1,1024,0.005,0.05,-1.640601856706279,0.5220517636129036,-1.6492437628624546,0.2772964890624924,-0.8760232929489303,0.7645785637573487,0.7732204699135242,0.00864190615617555,5754,0,1996,0.3613517554687538,0.3575806200267422,0.36512289091076544,0.2697542181784691,0.28483875994651564,0.0037711354420116305,5120,"[0, 0, 5]","[1.0, 11.0]",2,5,8,0.7732204699135242
real_raw,ibm_berlin,runtime_raw,5,1,1024,0.005,0.05,-1.640601856706279,0.5220517636129036,-1.6492437628624546,0.2759312572891883,-0.8717103107047923,0.7688915460014867,0.7775334521576622,0.00864190615617555,5886,0,1996,0.36203437135540584,0.35826165780834296,0.3658070849024687,0.26838583019506257,0.2834766843833141,0.003772713547062878,5120,"[0, 0, 5]","[1.0, 11.0]",2,5,9,0.7775334521576622
