n,harmonic_index,iqae_round,k,one_count,shots,round_one_count,round_shots,a_min,a_max,theta_min,theta_max,job_id,logical_depth,logical_size,transpiled_depth,transpiled_size,transpiled_ecr,transpiled_cz,transpiled_sx,transpiled_x,transpiled_rz,transpile_seconds,runtime_seconds,source,backend,condition,profile,shots_per_round,epsilon_target,alpha,repeat
5,1,1,0,146,512,146,512,0.23210503333565347,0.3427571202950287,0.08000347414340513,0.09954198283590444,d96v19k4ttfc73coovk0,65,142,285,552,0,92,224,0,235,0.009192466735839844,63.19071888923645,real_raw,ibm_berlin,runtime_raw,raw,512,0.005,0.05,0
5,1,2,3,279,512,279,512,0.2809429738526678,0.296816923497291,0.08891164994659025,0.09169893654697943,d96v1p9v0aoc73c2h1ag,68,145,3567,6398,0,1220,2673,0,2504,0.02106618881225586,62.65497064590454,real_raw,ibm_berlin,runtime_raw,raw,512,0.005,0.05,0
5,1,3,39,273,512,273,512,0.28786748407568646,0.28927367096578543,0.09013312334666222,0.0903800918292432,d96v29b0iros73egpiu0,104,181,43839,77438,0,15056,32579,0,29802,0.1997520923614502,65.62332224845886,real_raw,ibm_berlin,runtime_raw,raw,512,0.005,0.05,0
5,1,1,0,172,512,172,512,0.27985147603751725,0.3954943384994167,0.08871828403279043,0.1082438617395901,d96v2s44ttfc73cop10g,65,142,280,562,0,95,230,0,236,0.0054187774658203125,62.03710889816284,real_raw,ibm_berlin,runtime_raw,raw,512,0.005,0.05,1
5,1,2,4,285,512,285,512,0.3167416742269215,0.32948190056349225,0.0951375696185173,0.09730553128467624,d96v3bj0iros73egpjsg,69,146,4722,8458,0,1626,3547,0,3284,0.025696277618408203,62.69546556472778,real_raw,ibm_berlin,runtime_raw,raw,512,0.005,0.05,1
5,1,3,56,253,512,253,512,0.32273863510148826,0.3237534085980543,0.09616083828579844,0.09633349257447953,d96v3rk4ttfc73cop1tg,121,198,62926,111270,0,21691,46869,0,42709,0.3039698600769043,67.23590183258057,real_raw,ibm_berlin,runtime_raw,raw,512,0.005,0.05,1
5,1,1,0,181,512,181,512,0.29655501194960954,0.4135743714318473,0.09165330957497801,0.11117550175370833,d96v4ek4ttfc73cop2f0,65,142,275,555,0,92,226,0,236,0.005951642990112305,62.633868932724,real_raw,ibm_berlin,runtime_raw,raw,512,0.005,0.05,2
5,1,2,5,257,512,257,512,0.35396554795219937,0.3646590647761081,0.10141408477162267,0.10318771370155128,d96v4u9v0aoc73c2h45g,70,147,5823,10309,0,1975,4310,0,4023,0.031015872955322266,62.48601150512695,real_raw,ibm_berlin,runtime_raw,raw,512,0.005,0.05,2
5,1,3,60,242,512,242,512,0.35886397145753396,0.3598361768394283,0.10222797904284849,0.10238922134522375,d96v5edd0ogc73bgi520,125,202,67952,119254,0,23228,50260,0,45765,0.3153350353240967,66.39704751968384,real_raw,ibm_berlin,runtime_raw,raw,512,0.005,0.05,2
5,1,1,0,150,512,150,512,0.23939890916391174,0.35092201152269614,0.08137093602185001,0.10090711049964889,d96v615d0ogc73bgi5j0,65,142,286,559,0,92,225,0,241,0.00583338737487793,61.93687438964844,real_raw,ibm_berlin,runtime_raw,raw,512,0.005,0.05,3
5,1,2,3,263,512,263,512,0.276943978205478,0.292750545198229,0.08820207087923156,0.09098921611098253,d96v6gld0ogc73bgi610,68,145,3614,6422,0,1232,2683,0,2506,0.020421504974365234,66.13446283340454,real_raw,ibm_berlin,runtime_raw,raw,512,0.005,0.05,3
5,1,3,35,241,512,241,512,0.2855018996813669,0.28706280784287597,0.08971684254302023,0.08999163660319486,d96v71ld0ogc73bgi6hg,100,177,39340,69728,0,13561,29349,0,26817,0.17888593673706055,65.04442358016968,real_raw,ibm_berlin,runtime_raw,raw,512,0.005,0.05,3
5,1,1,0,164,512,164,512,0.2650776748607497,0.3793497039388,0.08607748205272324,0.10560650684364993,d96v7k1v0aoc73c2h6h0,65,142,289,546,0,89,218,0,238,0.006148099899291992,62.38355493545532,real_raw,ibm_berlin,runtime_raw,raw,512,0.005,0.05,4
5,1,2,4,263,512,263,512,0.3211911637891152,0.3339757389798299,0.0958972763581247,0.09806505598281991,d96v83ld0ogc73bgi7g0,69,146,4769,8441,0,1629,3545,0,3266,0.026831388473510742,63.28100872039795,real_raw,ibm_berlin,runtime_raw,raw,512,0.005,0.05,4
5,1,3,53,264,512,264,512,0.32678394318973425,0.32785910870345936,0.09684827522029493,0.09703061211179989,d96v8jtd0ogc73bgi7v0,118,195,59555,105188,0,20488,44310,0,40389,0.28160667419433594,66.59859085083008,real_raw,ibm_berlin,runtime_raw,raw,512,0.005,0.05,4
5,1,1,0,153,512,153,512,0.24488209070527908,0.3570329741726835,0.08238952947812392,0.10192404246364205,d96v96s4ttfc73cop6p0,65,142,283,561,0,92,225,0,243,0.0053060054779052734,63.581804513931274,real_raw,ibm_berlin,runtime_raw,raw,512,0.005,0.05,5
5,1,2,3,273,512,273,512,0.27943955217632566,0.29528824894714795,0.08864524919804508,0.09143246493003039,d96v9mr0iros73egpph0,68,145,3543,6416,0,1229,2686,0,2500,0.02046799659729004,62.08762979507446,real_raw,ibm_berlin,runtime_raw,raw,512,0.005,0.05,5
5,1,3,39,264,512,264,512,0.2876664049070299,0.289072266848117,0.09009777853211913,0.09034474115732205,d96va6ld0ogc73bgi9d0,104,181,44001,77456,0,15077,32600,0,29778,0.19722986221313477,64.7727460861206,real_raw,ibm_berlin,runtime_raw,raw,512,0.005,0.05,5
5,1,1,0,186,512,186,512,0.30587160926545837,0.4235821096727864,0.09326934075223231,0.11278986092325571,d96vap5d0ogc73bgi9ug,65,142,279,557,0,92,226,0,238,0.0057525634765625,62.43383455276489,real_raw,ibm_berlin,runtime_raw,raw,512,0.005,0.05,6
5,1,2,5,267,512,267,512,0.35565987374200136,0.3663645635538569,0.1016958872840664,0.10346953859347394,d96vb8s4ttfc73cop8jg,70,147,5807,10303,0,1978,4296,0,4028,0.031026601791381836,62.711437702178955,real_raw,ibm_berlin,runtime_raw,raw,512,0.005,0.05,6
5,1,3,61,263,512,263,512,0.36099086908453315,0.3619484798066383,0.10258060565979367,0.10273922368111282,d96vbos4ttfc73cop930,126,203,68406,121044,0,23574,50974,0,46495,0.33403587341308594,67.79829263687134,real_raw,ibm_berlin,runtime_raw,raw,512,0.005,0.05,6
5,1,1,0,152,512,152,512,0.2430531610606473,0.35499718277020603,0.08205064512516798,0.10158570368108709,d96vcc9v0aoc73c2haq0,65,142,289,553,0,92,223,0,237,0.005234956741333008,63.26148843765259,real_raw,ibm_berlin,runtime_raw,raw,512,0.005,0.05,7
5,1,2,3,237,512,237,512,0.27049021567854586,0.28618656364783374,0.08705019425419687,0.08983743120789886,d96vcs9v0aoc73c2hb8g,68,145,3589,6402,0,1220,2666,0,2515,0.02012157440185547,63.92184400558472,real_raw,ibm_berlin,runtime_raw,raw,512,0.005,0.05,7
5,1,3,37,260,512,260,512,0.277043652955415,0.27850780974784534,0.08821979518566496,0.08847992783854594,d96vdcj0iros73egpsp0,102,179,41665,73638,0,14337,30998,0,28302,0.19042205810546875,65.37302756309509,real_raw,ibm_berlin,runtime_raw,raw,512,0.005,0.05,7
5,1,1,0,153,512,153,512,0.24488209070527908,0.3570329741726835,0.08238952947812392,0.10192404246364205,d96vdutd0ogc73bgicq0,65,142,285,555,0,92,225,0,237,0.00496673583984375,62.79516887664795,real_raw,ibm_berlin,runtime_raw,raw,512,0.005,0.05,8
5,1,2,3,247,512,247,512,0.2729690574913711,0.2887079593224711,0.08749362431619723,0.09028077892682292,d96veeld0ogc73bgid8g,68,145,3614,6422,0,1229,2681,0,2511,0.01944446563720703,62.81726932525635,real_raw,ibm_berlin,runtime_raw,raw,512,0.005,0.05,8
5,1,3,41,257,512,257,512,0.27994103376197266,0.28126817814756355,0.08873415842509562,0.0889692176808693,d96veuhv0aoc73c2hd3g,106,183,46272,81568,0,15895,34358,0,31314,0.20353126525878906,66.15848565101624,real_raw,ibm_berlin,runtime_raw,raw,512,0.005,0.05,8
5,1,1,0,175,512,175,512,0.2854097075458468,0.40153059392356816,0.08970059827952047,0.10922499179271224,d96vfhdd0ogc73bgie80,65,142,287,561,0,92,225,0,243,0.0057201385498046875,62.38788199424744,real_raw,ibm_berlin,runtime_raw,raw,512,0.005,0.05,9
5,1,2,4,272,512,272,512,0.3193721326978999,0.3321385783756986,0.09558703468750035,0.09775486158917913,d96vg11v0aoc73c2he2g,69,146,4682,8408,0,1611,3522,0,3274,0.026696443557739258,62.44418692588806,real_raw,ibm_berlin,runtime_raw,raw,512,0.005,0.05,9
5,1,3,48,251,512,251,512,0.325114758868431,0.32629925155548556,0.09656489245678078,0.09676602614145059,d96vggtd0ogc73bgif50,113,190,54045,95402,0,18593,40177,0,36631,0.25363922119140625,66.11773252487183,real_raw,ibm_berlin,runtime_raw,raw,512,0.005,0.05,9
5,1,1,0,323,1024,323,1024,0.27628490464103905,0.35651925427949466,0.08808482387501552,0.1018387054228814,d96vh3hv0aoc73c2hf2g,65,142,285,552,0,92,224,0,235,0.0055751800537109375,64.40327024459839,real_raw,ibm_berlin,runtime_raw,raw,1024,0.005,0.05,0
5,1,2,4,494,1024,494,1024,0.3263175889643727,0.3353462010159238,0.0967691384554412,0.09829617374361194,d96vhjtd0ogc73bgig7g,69,146,4770,8391,0,1605,3501,0,3284,0.02432990074157715,64.80307579040527,real_raw,ibm_berlin,runtime_raw,raw,1024,0.005,0.05,0
5,1,1,0,336,1024,336,1024,0.2885010488466989,0.3695596662164804,0.09024444055087977,0.10399677187510951,d96vi6ld0ogc73bgigpg,65,142,280,562,0,95,230,0,236,0.0054471492767333984,64.42849111557007,real_raw,ibm_berlin,runtime_raw,raw,1024,0.005,0.05,1
5,1,2,4,564,1024,564,1024,0.3192166808994121,0.32819537022293277,0.09556050020788447,0.09708760708204021,d96vimtd0ogc73bgih8g,69,146,4722,8458,0,1626,3547,0,3284,0.025084495544433594,64.33371949195862,real_raw,ibm_berlin,runtime_raw,raw,1024,0.005,0.05,1
5,1,1,0,367,1024,367,1024,0.31776395004804037,0.4005242112873621,0.09531236326897945,0.10906158772825665,d96vj944ttfc73copfrg,65,142,275,555,0,92,226,0,236,0.00528717041015625,65.09744644165039,real_raw,ibm_berlin,runtime_raw,raw,1024,0.005,0.05,2
5,1,2,5,551,1024,551,1024,0.3586877959089379,0.36623519925893055,0.1021987496882273,0.10344817155755029,d96vjpk4ttfc73copgb0,70,147,5823,10309,0,1975,4310,0,4023,0.030276775360107422,64.68082213401794,real_raw,ibm_berlin,runtime_raw,raw,1024,0.005,0.05,2
5,1,1,0,315,1024,315,1024,0.26878420705669026,0.3484774953890876,0.08674427091659663,0.10049918670521361,d96vkc30iros73egq380,65,142,286,559,0,92,225,0,241,0.00580906867980957,65.63998985290527,real_raw,ibm_berlin,runtime_raw,raw,1024,0.005,0.05,3
5,1,2,4,539,1024,539,1024,0.3217525446316273,0.3307491342648149,0.09599292798264544,0.09751997538592162,d96vks9v0aoc73c2hii0,69,146,4672,8348,0,1608,3493,0,3246,0.026032447814941406,65.35620498657227,real_raw,ibm_berlin,runtime_raw,raw,1024,0.005,0.05,3
5,1,1,0,342,1024,342,1024,0.2941505111515853,0.37556710067551113,0.09123387959214725,0.10498554701530714,d96vlf44ttfc73cophqg,65,142,289,546,0,89,218,0,238,0.005309104919433594,64.51053595542908,real_raw,ibm_berlin,runtime_raw,raw,1024,0.005,0.05,4
5,1,2,5,541,1024,541,1024,0.35783590442990487,0.3653793581000569,0.10205736731375552,0.10330677247973204,d96vlv9v0aoc73c2hjh0,70,147,5816,10336,0,1993,4330,0,4012,0.030158519744873047,65.21078276634216,real_raw,ibm_berlin,runtime_raw,raw,1024,0.005,0.05,4
5,1,1,0,292,1024,292,1024,0.24729437824857028,0.32528295503469634,0.08283520079465449,0.0965934646660209,d96vmihv0aoc73c2hk3g,65,142,283,561,0,92,225,0,243,0.005240917205810547,131.77406692504883,real_raw,ibm_berlin,runtime_raw,raw,1024,0.005,0.05,5
5,1,2,3,521,1024,521,1024,0.2786410946532661,0.2897684728951727,0.08850358729185706,0.09046690904741582,d96vnjhv0aoc73c2hl1g,68,145,3543,6416,0,1229,2686,0,2500,0.02040410041809082,64.37270188331604,real_raw,ibm_berlin,runtime_raw,raw,1024,0.005,0.05,5
5,1,3,56,526,1024,526,1024,0.28461319970955246,0.2853030869513508,0.08956018777993814,0.08968180975501316,d96vo41v0aoc73c2hlgg,121,198,63241,111010,0,21601,46702,0,42706,0.288313627243042,71.23118877410889,real_raw,ibm_berlin,runtime_raw,raw,1024,0.005,0.05,5
5,1,1,0,348,1024,348,1024,0.2998069405591449,0.38156758244600786,0.09221900159576629,0.10597003617359399,d96voo5d0ogc73bgimn0,65,142,279,557,0,92,226,0,238,0.006208181381225586,64.95157313346863,real_raw,ibm_berlin,runtime_raw,raw,1024,0.005,0.05,6
5,1,2,5,530,1024,530,1024,0.35690039980866556,0.36443952084552667,0.1019020223726337,0.10315141488113704,d96vp89v0aoc73c2hmhg,70,147,5807,10303,0,1978,4296,0,4028,0.03099513053894043,63.985578536987305,real_raw,ibm_berlin,runtime_raw,raw,1024,0.005,0.05,6
5,1,1,0,339,1024,339,1024,0.29132490335062716,0.3725642582412981,0.09073971279358213,0.10449170821984793,d96vpqtd0ogc73bginn0,65,142,289,553,0,92,223,0,237,0.005338430404663086,64.90583038330078,real_raw,ibm_berlin,runtime_raw,raw,1024,0.005,0.05,7
5,1,2,4,534,1024,534,1024,0.3222593585531629,0.33125951614036553,0.09607924448069878,0.09760628455184522,d96vqb44ttfc73copm90,69,146,4718,8377,0,1608,3505,0,3263,0.0247344970703125,65.23235774040222,real_raw,ibm_berlin,runtime_raw,raw,1024,0.005,0.05,7
5,1,1,0,344,1024,344,1024,0.29603521799606247,0.3775680293290298,0.0915627229940375,0.10531417606909338,d96vqv1v0aoc73c2ho20,65,142,285,555,0,92,225,0,237,0.00523686408996582,63.956544399261475,real_raw,ibm_berlin,runtime_raw,raw,1024,0.005,0.05,8
5,1,2,5,538,1024,538,1024,0.3575806200267422,0.36512289091076544,0.10201498508697292,0.10326438620940044,d96vrf44ttfc73copn90,70,147,5754,10382,0,1996,4344,0,4041,0.02984762191772461,65.92493295669556,real_raw,ibm_berlin,runtime_raw,raw,1024,0.005,0.05,8
5,1,1,0,371,1024,371,1024,0.3215529222846821,0.4045065465490157,0.09595892009672707,0.10970779923245152,d96vs1s4ttfc73copnpg,65,142,287,561,0,92,225,0,243,0.005029201507568359,64.30857419967651,real_raw,ibm_berlin,runtime_raw,raw,1024,0.005,0.05,9
5,1,2,5,546,1024,546,1024,0.35826165780834296,0.3658070849024687,0.10212803585769263,0.10337744875342877,d96vshs4ttfc73copo8g,70,147,5886,10369,0,1996,4344,0,4028,0.03014206886291504,65.51364612579346,real_raw,ibm_berlin,runtime_raw,raw,1024,0.005,0.05,9
5,1,1,0,623,2048,623,2048,0.27669784523252744,0.3327285598832469,0.08815829472902216,0.09785452342742025,d96vt4td0ogc73bgiql0,65,142,285,552,0,92,224,0,235,0.005593538284301758,69.10207271575928,real_raw,ibm_berlin,runtime_raw,raw,2048,0.005,0.05,0
5,1,2,7,1072,2048,1072,2048,0.293356099202564,0.2970589486433577,0.09109508696458674,0.09174108881624482,d96vtmc4ttfc73copp8g,72,149,8114,14315,0,2760,6000,0,5554,0.039366960525512695,70.92884516716003,real_raw,ibm_berlin,runtime_raw,raw,2048,0.005,0.05,0
5,1,1,0,629,2048,629,2048,0.2795453142491914,0.3357250529505252,0.08866400414289631,0.09836002280114543,d96vua30iros73egqc50,65,142,280,562,0,95,230,0,236,0.005536794662475586,68.68309760093689,real_raw,ibm_berlin,runtime_raw,raw,2048,0.005,0.05,1
5,1,2,8,1100,2048,1100,2048,0.31974520869233536,0.3230904407365308,0.09565070204323761,0.09622071078663053,d96vurhv0aoc73c2hrh0,73,150,9195,16277,0,3148,6834,0,6294,0.04311656951904297,69.93768453598022,real_raw,ibm_berlin,runtime_raw,raw,2048,0.005,0.05,1
5,1,1,0,688,2048,688,2048,0.3076141167960069,0.3651219602153585,0.09357003892295628,0.10326423238208557,d96vvfdd0ogc73bgisn0,65,142,275,555,0,92,226,0,236,0.005341768264770508,69.48424768447876,real_raw,ibm_berlin,runtime_raw,raw,2048,0.005,0.05,2
5,1,2,9,1065,2048,1065,2048,0.3351410989689582,0.3381696974281936,0.09826159982479514,0.09877160014847376,d970011v0aoc73c2hsig,74,151,10332,18226,0,3521,7639,0,7065,0.048180341720581055,70.45402646064758,real_raw,ibm_berlin,runtime_raw,raw,2048,0.005,0.05,2
5,1,1,0,604,2048,604,2048,0.2676896816122282,0.32323085522927286,0.0865476762811872,0.09624460265085595,d9700ks4ttfc73copru0,65,142,286,559,0,92,225,0,241,0.006062507629394531,68.4758780002594,real_raw,ibm_berlin,runtime_raw,raw,2048,0.005,0.05,3
5,1,2,7,1069,2048,1069,2048,0.2934450538908793,0.29714822434916904,0.09111063379490432,0.09175663500078178,d9701630iros73egqep0,72,149,8022,14310,0,2766,6009,0,5534,0.0388333797454834,69.2634744644165,real_raw,ibm_berlin,runtime_raw,raw,2048,0.005,0.05,3
5,1,1,0,704,2048,704,2048,0.3152468100536081,0.37307321104635066,0.09488169766723709,0.1045754654428864,d9701pk4ttfc73copsvg,65,142,289,546,0,89,218,0,238,0.005475282669067383,68.66401672363281,real_raw,ibm_berlin,runtime_raw,raw,2048,0.005,0.05,4
5,1,2,9,1071,2048,1071,2048,0.3349955102667196,0.3380237914221175,0.09823705484824517,0.09874705613646123,d9702atd0ogc73bgiva0,74,151,10331,18181,0,3524,7631,0,7025,0.047872304916381836,69.4751489162445,real_raw,ibm_berlin,runtime_raw,raw,2048,0.005,0.05,4
5,1,1,0,643,2048,643,2048,0.2861945183408329,0.34271176685037935,0.08983883174549687,0.09953437867844489,d9702uld0ogc73bgivs0,65,142,283,561,0,92,225,0,243,0.005489826202392578,69.7248523235321,real_raw,ibm_berlin,runtime_raw,raw,2048,0.005,0.05,5
5,1,2,8,1048,2048,1048,2048,0.3183521783315866,0.32169351000072655,0.09541287324654064,0.09598287135480445,d9703g5d0ogc73bgj0cg,73,150,9159,16235,0,3139,6809,0,6286,0.045160531997680664,69.08982563018799,real_raw,ibm_berlin,runtime_raw,raw,2048,0.005,0.05,5
5,1,1,0,720,2048,720,2048,0.32288809410156244,0.38101587948309834,0.09618627624512271,0.10587964545766113,d97043hv0aoc73c2i07g,65,142,279,557,0,92,226,0,238,0.005408287048339844,67.70628094673157,real_raw,ibm_berlin,runtime_raw,raw,2048,0.005,0.05,6
5,1,2,10,1108,2048,1108,2048,0.35310425049862226,0.35587805618665963,0.10127071595968815,0.10173215373797753,d9704kk4ttfc73copvhg,75,152,11452,20314,0,3933,8527,0,7853,0.05271601676940918,69.16108870506287,real_raw,ibm_berlin,runtime_raw,raw,2048,0.005,0.05,6
5,1,1,0,664,2048,664,2048,0.29618150516674546,0.3531786729240368,0.09158822169997952,0.10128310720467174,d97058b0iros73egqie0,65,142,289,553,0,92,223,0,237,0.005646944046020508,69.49596691131592,real_raw,ibm_berlin,runtime_raw,raw,2048,0.005,0.05,7
5,1,2,8,984,2048,984,2048,0.316641756668514,0.3199783412450248,0.09512047713161109,0.09569047732806304,d9705ppv0aoc73c2i1og,73,150,9214,16370,0,3166,6867,0,6336,0.044234514236450195,69.01001691818237,real_raw,ibm_berlin,runtime_raw,raw,2048,0.005,0.05,7
5,1,1,0,647,2048,647,2048,0.28809559127823975,0.34470667208220707,0.09017321012840329,0.09986862688506123,d9706dj0iros73egqjf0,65,142,285,555,0,92,225,0,237,0.005421161651611328,68.92017316818237,real_raw,ibm_berlin,runtime_raw,raw,2048,0.005,0.05,8
5,1,2,12,1019,2048,1019,2048,0.3148967497414456,0.3171612533552436,0.09482173157566857,0.09520932952606317,d9706v1v0aoc73c2i2q0,77,154,13651,24215,0,4694,10171,0,9349,0.06217026710510254,71.31893420219421,real_raw,ibm_berlin,runtime_raw,raw,2048,0.005,0.05,8
5,1,1,0,703,2048,703,2048,0.31476951359170907,0.3725765107500439,0.09479993128597634,0.10449372486034925,d9707j1v0aoc73c2i3cg,65,142,287,561,0,92,225,0,243,0.0054225921630859375,68.87863039970398,real_raw,ibm_berlin,runtime_raw,raw,2048,0.005,0.05,9
5,1,2,9,1066,2048,1066,2048,0.33511683563044803,0.33814538117684484,0.09825750942268942,0.09876750989794324,d970849v0aoc73c2i3s0,74,151,10350,18273,0,3545,7686,0,7041,0.04920840263366699,70.80169653892517,real_raw,ibm_berlin,runtime_raw,raw,2048,0.005,0.05,9
5,1,1,0,1242,4096,1242,4096,0.2837291593560711,0.3232312158762172,0.08940420820305181,0.09624466401231094,d9708otd0ogc73bgj53g,65,142,285,552,0,92,224,0,235,0.005733489990234375,77.58801031112671,real_raw,ibm_berlin,runtime_raw,raw,4096,0.005,0.05,0
5,1,2,15,2183,4096,2183,4096,0.30120918320920065,0.30248151395795064,0.09246238678875728,0.09268294453428148,d9709c9v0aoc73c2i4vg,80,157,17078,30088,0,5843,12652,0,11592,0.07818245887756348,80.51501250267029,real_raw,ibm_berlin,runtime_raw,raw,4096,0.005,0.05,0
5,1,1,0,1382,4096,1382,4096,0.3173018634091056,0.35792832174287326,0.09523337213547109,0.10207270875261837,d970a2k4ttfc73coq4e0,65,142,280,562,0,95,230,0,236,0.0059511661529541016,76.71704697608948,real_raw,ibm_berlin,runtime_raw,raw,4096,0.005,0.05,1
