series,backend,condition,n,seed,shots,kl,tvd,integral,analytic_ref,abs_error,depth,ops,param_file,source_file
statevector,statevector,learned_statevector_exact,2,0,0,4.475341643149508e-15,4.368381308766933e-08,8.416502510381147,7.561698543939756,0.8548039664413905,36,nan,experiments\real_backend_yonsei\hn_chebyshev_stateprep\params\hn_chebyshev_q20_seed00_reps8.npz,experiments\real_backend_yonsei\hn_chebyshev_stateprep\params\hn_chebyshev_q20_seed00_reps8.npz
statevector,statevector,learned_statevector_exact,3,9,0,5.4150212906254175e-14,1.4906539845625094e-07,7.559426128662751,7.561698543939756,0.0022724152770052,44,nan,experiments\real_backend_yonsei\hn_chebyshev_stateprep\params\hn_chebyshev_q30_seed09_reps8.npz,experiments\real_backend_yonsei\hn_chebyshev_stateprep\params\hn_chebyshev_q30_seed09_reps8.npz
statevector,statevector,learned_statevector_exact,4,9,0,1.1101627971415355e-13,1.736502841965127e-07,7.555687756715849,7.561698543939756,0.0060107872239072,52,nan,experiments\real_backend_yonsei\hn_chebyshev_stateprep\params\hn_chebyshev_q40_seed09_reps8.npz,experiments\real_backend_yonsei\hn_chebyshev_stateprep\params\hn_chebyshev_q40_seed09_reps8.npz
statevector,statevector,learned_statevector_exact,5,5,0,3.043038998548893e-13,3.122599486013065e-07,7.5619757929857565,7.561698543939756,0.0002772490460003,60,nan,experiments\real_backend_yonsei\hn_chebyshev_stateprep\params\hn_chebyshev_q50_seed05_reps8.npz,experiments\real_backend_yonsei\hn_chebyshev_stateprep\params\hn_chebyshev_q50_seed05_reps8.npz
statevector,statevector,learned_statevector_exact,6,2,0,7.357936795787465e-13,4.1227093921134233e-07,7.561835354958198,7.561698543939756,0.000136811018442,68,nan,experiments\real_backend_yonsei\hn_chebyshev_stateprep\params\hn_chebyshev_q60_seed02_reps8.npz,experiments\real_backend_yonsei\hn_chebyshev_stateprep\params\hn_chebyshev_q60_seed02_reps8.npz
statevector,statevector,learned_statevector_exact,7,0,0,0.0001145858930941,0.0046805223755834,7.557292509961496,7.561698543939756,0.0044060339782596,76,nan,experiments\real_backend_yonsei\hn_chebyshev_stateprep\params\hn_chebyshev_q70_seed00_reps8.npz,experiments\real_backend_yonsei\hn_chebyshev_stateprep\params\hn_chebyshev_q70_seed00_reps8.npz
statevector,statevector,learned_statevector_exact,8,2,0,0.0034159502735625,0.0282579062589579,7.564022638175014,7.561698543939756,0.0023240942352575,84,nan,experiments\real_backend_yonsei\hn_chebyshev_stateprep\params\hn_chebyshev_q80_seed02_reps8.npz,experiments\real_backend_yonsei\hn_chebyshev_stateprep\params\hn_chebyshev_q80_seed02_reps8.npz
aer_shot,AerSimulator,noise_free_high_shot,2,0,262144,1.728091950360471e-05,0.0025189912285048,8.424804143348108,7.561698543939756,0.8631055994083523,36,nan,experiments\real_backend_yonsei\hn_chebyshev_stateprep\params\hn_chebyshev_q20_seed00_reps8.npz,generated_by_aer_highshot
aer_shot,AerSimulator,noise_free_high_shot,3,9,262144,5.607412723399323e-06,0.0014740541824311,7.566879839494628,7.561698543939756,0.0051812955548715,44,nan,experiments\real_backend_yonsei\hn_chebyshev_stateprep\params\hn_chebyshev_q30_seed09_reps8.npz,generated_by_aer_highshot
aer_shot,AerSimulator,noise_free_high_shot,4,9,262144,2.1850230890526874e-05,0.0025971375429989,7.5667445754780305,7.561698543939756,0.0050460315382743,52,nan,experiments\real_backend_yonsei\hn_chebyshev_stateprep\params\hn_chebyshev_q40_seed09_reps8.npz,generated_by_aer_highshot
aer_shot,AerSimulator,noise_free_high_shot,5,5,262144,3.58605612236784e-05,0.0032323560356839,7.551376207298349,7.561698543939756,0.0103223366414066,60,nan,experiments\real_backend_yonsei\hn_chebyshev_stateprep\params\hn_chebyshev_q50_seed05_reps8.npz,generated_by_aer_highshot
aer_shot,AerSimulator,noise_free_high_shot,6,2,262144,0.0001485693145948,0.0064631731876433,7.568094565328763,7.561698543939756,0.0063960213890066,68,nan,experiments\real_backend_yonsei\hn_chebyshev_stateprep\params\hn_chebyshev_q60_seed02_reps8.npz,generated_by_aer_highshot
aer_shot,AerSimulator,noise_free_high_shot,7,0,262144,0.0003818089444691,0.0091739371830576,7.566160383166943,7.561698543939756,0.0044618392271864,76,nan,experiments\real_backend_yonsei\hn_chebyshev_stateprep\params\hn_chebyshev_q70_seed00_reps8.npz,generated_by_aer_highshot
aer_shot,AerSimulator,noise_free_high_shot,8,2,262144,0.0041715747418008,0.0312088473759158,7.562040040640332,7.561698543939756,0.0003414967005754,84,nan,experiments\real_backend_yonsei\hn_chebyshev_stateprep\params\hn_chebyshev_q80_seed02_reps8.npz,generated_by_aer_highshot
yonsei_raw,ibm_yonsei,nan,2,0,4096,0.0088191693792451,0.0525220429863173,8.534380663009156,7.561698543939756,0.9726821190693996,21,nan,nan,experiments\real_backend_yonsei\hn_chebyshev_stateprep\results\hn_chebyshev_yonsei_real_backend_summary_current.csv
yonsei_raw,ibm_yonsei,nan,3,9,4096,0.1171642567047556,0.1722713834379658,8.364139527830266,7.561698543939756,0.8024409838905102,237,nan,nan,experiments\real_backend_yonsei\hn_chebyshev_stateprep\results\hn_chebyshev_yonsei_real_backend_summary_current.csv
yonsei_raw,ibm_yonsei,nan,4,9,4096,0.3123340568290373,0.3292630729965993,9.359388669008611,7.561698543939756,1.797690125068855,308,nan,nan,experiments\real_backend_yonsei\hn_chebyshev_stateprep\results\hn_chebyshev_yonsei_real_backend_summary_current.csv
yonsei_raw,ibm_yonsei,nan,5,5,4096,0.2705144728429144,0.3164111172895387,9.196818911556596,7.561698543939756,1.6351203676168398,359,nan,nan,experiments\real_backend_yonsei\hn_chebyshev_stateprep\results\hn_chebyshev_yonsei_real_backend_summary_current.csv
yonsei_raw,ibm_yonsei,nan,6,2,4096,0.3298332686127009,0.336947027985757,9.388669435929785,7.561698543939756,1.826970891990027,495,nan,nan,experiments\real_backend_yonsei\hn_chebyshev_stateprep\results\hn_chebyshev_yonsei_real_backend_summary_current.csv
yonsei_raw,ibm_yonsei,berlin_nighthawk_raw,7,0,4096,0.3327637471647993,0.3358450220185237,9.357098691748146,7.561698543939756,1.7954001478083894,710,"{""ecr"": 218, ""measure"": 7, ""rz"": 720, ""sx"": 431, ""x"": 23}",nan,experiments\nighthawk_backend_probe_20260702\outputs\20260702T123614Z_ibm_yonsei_yonsei_compare_raw_n78_submission_results.csv
yonsei_raw,ibm_yonsei,berlin_nighthawk_raw,8,2,4096,0.3528571708461323,0.3383884305645209,9.384025606781544,7.561698543939756,1.822327062841788,655,"{""ecr"": 172, ""measure"": 8, ""rz"": 617, ""sx"": 376, ""x"": 20}",nan,experiments\nighthawk_backend_probe_20260702\outputs\20260702T123614Z_ibm_yonsei_yonsei_compare_raw_n78_submission_results.csv
yonsei_mitigated,ibm_yonsei,runtime_dd_twirling_counts_readout_postprocessed,2,0,8192,0.0009548881054005,0.017798333482269,8.523394591094338,7.561698543939756,0.9616960471545816,21,nan,nan,experiments\nighthawk_backend_probe_20260702\outputs\20260702T123735Z_ibm_yonsei_yonsei_hn_runtime_dd_twirling_xx_8192_n2_8_submission_results.csv
yonsei_mitigated,ibm_yonsei,runtime_dd_twirling_counts_readout_postprocessed,3,9,8192,0.0662889347590467,0.1405365671076978,8.571335837965925,7.561698543939756,1.0096372940261693,240,nan,nan,experiments\nighthawk_backend_probe_20260702\outputs\20260702T123735Z_ibm_yonsei_yonsei_hn_runtime_dd_twirling_xx_8192_n2_8_submission_results.csv
yonsei_mitigated,ibm_yonsei,runtime_dd_twirling_counts_readout_postprocessed,4,9,8192,0.0993688020464386,0.1778149177772736,8.612834243124379,7.561698543939756,1.0511356991846226,307,nan,nan,experiments\nighthawk_backend_probe_20260702\outputs\20260702T123735Z_ibm_yonsei_yonsei_hn_runtime_dd_twirling_xx_8192_n2_8_submission_results.csv
yonsei_mitigated,ibm_yonsei,runtime_dd_twirling_counts_readout_postprocessed,5,5,8192,0.190241881924166,0.2472363617158425,8.943937281633987,7.561698543939756,1.3822387376942311,367,nan,nan,experiments\nighthawk_backend_probe_20260702\outputs\20260702T123735Z_ibm_yonsei_yonsei_hn_runtime_dd_twirling_xx_8192_n2_8_submission_results.csv
yonsei_mitigated,ibm_yonsei,runtime_mitigated_counts_readout_postprocessed,6,2,4096,0.2696565597422289,0.3054828074452257,9.188901306673657,7.561698543939756,1.6272027627339003,428,nan,nan,experiments\real_backend_yonsei\hn_chebyshev_stateprep\results_mitigated\20260628T073340Z_ibm_yonsei_hn_chebyshev_runtime_dd_twirling_layout_best_submission_results.csv
yonsei_mitigated,ibm_yonsei,runtime_dd_twirling_counts_readout_postprocessed,7,0,8192,0.3422511372999322,0.3389549544082222,9.360616810046038,7.561698543939756,1.7989182661062817,703,nan,nan,experiments\nighthawk_backend_probe_20260702\outputs\20260702T123735Z_ibm_yonsei_yonsei_hn_runtime_dd_twirling_xx_8192_n2_8_submission_results.csv
yonsei_mitigated,ibm_yonsei,runtime_dd_twirling_counts_readout_postprocessed,8,2,8192,0.3505200825114984,0.3461044151333197,9.371879379660433,7.561698543939756,1.8101808357206768,650,nan,nan,experiments\nighthawk_backend_probe_20260702\outputs\20260702T123735Z_ibm_yonsei_yonsei_hn_runtime_dd_twirling_xx_8192_n2_8_submission_results.csv
berlin_raw,ibm_berlin,berlin_nighthawk_raw,2,0,4096,0.0024998162640774,0.0331964092185125,8.60931563175501,7.561698543939756,1.0476170878152535,20,"{""cz"": 3, ""measure"": 2, ""rz"": 15, ""sx"": 14}",nan,experiments\nighthawk_backend_probe_20260702\outputs\20260702T065547Z_ibm_berlin_berlin_yonsei_compare_raw_submission_results.csv
berlin_raw,ibm_berlin,berlin_nighthawk_raw,3,9,4096,0.0234215639960784,0.0565493779815038,7.711750316327431,7.561698543939756,0.1500517723876751,180,"{""cz"": 57, ""measure"": 3, ""rz"": 108, ""sx"": 131, ""x"": 2}",nan,experiments\nighthawk_backend_probe_20260702\outputs\20260702T065547Z_ibm_berlin_berlin_yonsei_compare_raw_submission_results.csv
berlin_raw,ibm_berlin,berlin_nighthawk_raw,4,9,4096,0.0143737587623152,0.0598594847403085,7.528266383268678,7.561698543939756,0.0334321606710785,118,"{""cz"": 32, ""measure"": 4, ""rz"": 106, ""sx"": 104}",nan,experiments\nighthawk_backend_probe_20260702\outputs\20260702T065547Z_ibm_berlin_berlin_yonsei_compare_raw_submission_results.csv
berlin_raw,ibm_berlin,berlin_nighthawk_raw,5,5,4096,0.1324089043869715,0.2159694580153821,8.566853788195022,7.561698543939756,1.005155244255266,192,"{""cz"": 68, ""measure"": 5, ""rz"": 146, ""sx"": 180}",nan,experiments\nighthawk_backend_probe_20260702\outputs\20260702T064905Z_ibm_berlin_nighthawk_raw_probe_submission_results.csv
berlin_raw,ibm_berlin,berlin_nighthawk_raw,6,2,4096,0.0753180489724479,0.1488270561130194,7.799964532446845,7.561698543939756,0.2382659885070888,166,"{""cz"": 48, ""measure"": 6, ""rz"": 161, ""sx"": 156}",nan,experiments\nighthawk_backend_probe_20260702\outputs\20260702T064905Z_ibm_berlin_nighthawk_raw_probe_submission_results.csv
berlin_raw,ibm_berlin,berlin_nighthawk_raw,7,0,4096,0.1619564678328653,0.2220223342669036,8.258453730610986,7.561698543939756,0.69675518667123,230,"{""cz"": 83, ""measure"": 7, ""rz"": 198, ""sx"": 227}",nan,experiments\nighthawk_backend_probe_20260702\outputs\20260702T123546Z_ibm_berlin_berlin_compare_raw_n78_submission_results.csv
berlin_raw,ibm_berlin,berlin_nighthawk_raw,8,2,4096,0.1710225878695834,0.1690716765863721,7.681156662115768,7.561698543939756,0.1194581181760119,214,"{""cz"": 64, ""measure"": 8, ""rz"": 215, ""sx"": 208}",nan,experiments\nighthawk_backend_probe_20260702\outputs\20260702T123546Z_ibm_berlin_berlin_compare_raw_n78_submission_results.csv
berlin_mitigated,ibm_berlin,runtime_dd_twirling_counts_readout_postprocessed,2,0,8192,0.0003903213078365,0.0054706903381285,8.42651799898629,7.561698543939756,0.8648194550465336,20,nan,nan,experiments\nighthawk_backend_probe_20260702\outputs\20260702T070743Z_ibm_berlin_berlin_hn_runtime_dd_twirling_xx_8192_submission_results.csv
