task,quantity,family,mode,method,reps,data_qubits,objective_qubits,total_problem_qubits,phase_qubits,shots,phase_states,estimator_model,qae_mae_vs_analytic,qae_median_abs_error_vs_analytic,qae_mae_vs_exact,qae_median_abs_error_vs_exact,exact_mae_vs_analytic,qae_estimate_std,n_points,n_trials
first_collision_1d,D1_depth_dose,chebyshev,theta,HN-MLP,8,5,1,6,4,512,16,qpe_phase_register_mean_sampling,0.05435185323078719,0.02655469683604561,0.0603702770082999,0.029526443302679173,0.006018423777512716,2.4270343834575048,9,100
first_collision_1d,D1_depth_dose,chebyshev,theta,HN-MLP,8,5,1,6,4,2048,16,qpe_phase_register_mean_sampling,0.05442432928553888,0.026482645622174172,0.0604427530630516,0.029399392767769705,0.006018423777512716,2.426874956232319,9,100
first_collision_1d,D1_depth_dose,chebyshev,theta,HN-MLP,8,5,1,6,4,8192,16,qpe_phase_register_mean_sampling,0.05414410178531474,0.026008897718719837,0.060162525562827446,0.02892564486431537,0.006018423777512716,2.426603289655334,9,100
first_collision_1d,D1_depth_dose,chebyshev,theta,HN-MLP,8,5,1,6,6,512,64,qpe_phase_register_mean_sampling,0.03189044008527634,0.01447777661957228,0.025934564943263412,0.011207543608712511,0.006018423777512716,2.3303321665392103,9,100
first_collision_1d,D1_depth_dose,chebyshev,theta,HN-MLP,8,5,1,6,6,2048,64,qpe_phase_register_mean_sampling,0.03245845230668116,0.015412263164481077,0.026440028529168443,0.012416304480826756,0.006018423777512716,2.328961303921918,9,100
first_collision_1d,D1_depth_dose,chebyshev,theta,HN-MLP,8,5,1,6,6,8192,64,qpe_phase_register_mean_sampling,0.032309471867445996,0.01579737709939011,0.026291048089933284,0.012880629953794576,0.006018423777512716,2.3295502318676724,9,100
first_collision_1d,D1_depth_dose,chebyshev,theta,HN-MLP,8,5,1,6,8,512,256,qpe_phase_register_mean_sampling,0.0050637818007112706,0.0017100758422431417,0.004283160965772184,0.0014305021554694708,0.006018423777512716,2.3612406337306573,9,100
first_collision_1d,D1_depth_dose,chebyshev,theta,HN-MLP,8,5,1,6,8,2048,256,qpe_phase_register_mean_sampling,0.004024049607358472,0.0015387967746464115,0.002627893913205385,0.0009598353515009317,0.006018423777512716,2.3612820545701636,9,100
first_collision_1d,D1_depth_dose,chebyshev,theta,HN-MLP,8,5,1,6,8,8192,256,qpe_phase_register_mean_sampling,0.0038961988093641924,0.0018418069480643506,0.002178909174304546,0.0008865667644412656,0.006018423777512716,2.3614542922012274,9,100
first_collision_1d,D1_depth_dose,chebyshev,theta,HN-MLP,8,5,1,6,10,512,1024,qpe_phase_register_mean_sampling,0.005489340295313536,0.0025466494616264157,0.0020848379492081005,0.0007608519200390518,0.006018423777512716,2.3595927585773744,9,100
first_collision_1d,D1_depth_dose,chebyshev,theta,HN-MLP,8,5,1,6,10,2048,1024,qpe_phase_register_mean_sampling,0.005437105299693708,0.0026556918945500607,0.0011173268870601008,0.00041578609248926757,0.006018423777512716,2.359588420660147,9,100
first_collision_1d,D1_depth_dose,chebyshev,theta,HN-MLP,8,5,1,6,10,8192,1024,qpe_phase_register_mean_sampling,0.005435449001722763,0.00261888339140659,0.0007153891165468056,0.0002708322406659025,0.006018423777512716,2.35965056331283,9,100
first_collision_1d,D1_depth_dose,chebyshev,theta,qGAN,8,5,1,6,4,512,16,qpe_phase_register_mean_sampling,0.05111206332261065,0.025682284051073867,0.05975441237551216,0.029917665136259708,0.008642349052901507,2.421520233156855,9,100
first_collision_1d,D1_depth_dose,chebyshev,theta,qGAN,8,5,1,6,4,2048,16,qpe_phase_register_mean_sampling,0.05195017797955094,0.025492901266941925,0.060592527032452444,0.02968129807367348,0.008642349052901507,2.4238077798682975,9,100
first_collision_1d,D1_depth_dose,chebyshev,theta,qGAN,8,5,1,6,4,8192,16,qpe_phase_register_mean_sampling,0.05246467044763477,0.02555280011414962,0.06110701950053627,0.029741196920881174,0.008642349052901507,2.4244996809351376,9,100
first_collision_1d,D1_depth_dose,chebyshev,theta,qGAN,8,5,1,6,6,512,64,qpe_phase_register_mean_sampling,0.03580474146554031,0.016799761513720535,0.027209059277882038,0.012183555085368614,0.008642349052901507,2.3266162147123186,9,100
first_collision_1d,D1_depth_dose,chebyshev,theta,qGAN,8,5,1,6,6,2048,64,qpe_phase_register_mean_sampling,0.03664475556000834,0.01772932064086885,0.02800240650710683,0.013463041363761974,0.008642349052901507,2.3246467194987512,9,100
first_collision_1d,D1_depth_dose,chebyshev,theta,qGAN,8,5,1,6,6,8192,64,qpe_phase_register_mean_sampling,0.03633551398791607,0.017324536599095608,0.02769316493501456,0.013136139792364054,0.008642349052901507,2.3251958642373767,9,100
first_collision_1d,D1_depth_dose,chebyshev,theta,qGAN,8,5,1,6,8,512,256,qpe_phase_register_mean_sampling,0.009227238500242329,0.0034816958906390694,0.0047589965078903215,0.001513587600210628,0.008642349052901507,2.355279029301904,9,100
